foundation,percentage
A1,100.0
A2,99.9
A3,100.0
AZCE,100.0
AZCN,100.0
CFD,100
CFP,100
CFT,100
DP1,99.9
DP2,99.9
LP1,100.0
MPC01,100
MPPCI01,100.0
MSC01,100.0
MSPCI01,100.0
P1,100.0
P10,100.0
P2,100.0
P3,100.0
P5,100.0
P6,100.0
P7,100.0
P8,100
P9,100
PNP1,99.8
PNP2,99.8
PNP3,99.8
PNP4,99.8
PNP5,99.8
PNP6,99.8
R1,100.0
R2,100.0
R3,100.0
S1,100.0
S10,100.0
S2,100.0
S3,100.0
S4,99.8
S5,100.0
S6,100.0
S7,100.0
S8,100
S9,100
V1,100.0
V2,100
V3,100
VDC02,100.0
VTC01,100.0
