"ENV","Server Name","Function / Domain","Applications","Channel","Server Type"
PRD,LPVRA81A0101,CORE - TOMCAT,OLTP-Async,green,VM
PRD,LPVRA82A0101,CORE - TOMCAT,OLTP-Async,green,VM
PRD,LPVRA83A0101,CORE - TOMCAT,OLTP-B.Admin,green,VM
PRD,LPVRA84A0101,CORE - TOMCAT,OLTP-B.Admin,green,VM
PRD,LPVRA85A0101,CORE - TOMCAT,OLTP-B.Admin-LDDV,green,VM
PRD,LPVRA86A0101,CORE - TOMCAT,OLTP-B.Admin-LDDV,green,VM
PRD,LPVRA87A0101,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,green,VM
PRD,LPVRA88A0101,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,green,VM
PRD,LPVRA89A0101,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,green,VM
PRD,LPVRA90A0101,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,green,VM
PRD,LPVRA91A0101,CORE - TOMCAT,OLTP-Docs,green,VM
PRD,LPVRA92A0101,CORE - TOMCAT,OLTP-Docs,green,VM
PRD,LPVRA93A0101,CORE - TOMCAT,OLTP-Docs,green,VM
PRD,LPVRA94A0101,CORE - TOMCAT,OLTP-Docs,green,VM
PRD,LPVRA95A0101,CORE - TOMCAT,CSL-Quartz-T2,green,VM
PRD,LPVRA96A0101,CORE - TOMCAT,CSL-Quartz-T2,green,VM
PRD,LPVRA97A0101,CORE - TOMCAT,CSL-Quartz,green,VM
PRD,LPVRA98A0101,CORE - TOMCAT,CSL-Quartz,green,VM
PRD,LPVRA99A0101,CORE - TOMCAT,CSL-Quartz,green,VM
PRD,LPVRA68A0094,CORE - TOMCAT,OLTP-Async,blue,VM
PRD,LPVRA69A0094,CORE - TOMCAT,OLTP-Async,blue,VM
PRD,LPVRA70A0094,CORE - TOMCAT,OLTP-B.Admin,blue,VM
PRD,LPVRA71A0094,CORE - TOMCAT,OLTP-B.Admin,blue,VM
PRD,LPVRA72A0094,CORE - TOMCAT,OLTP-B.Admin-LDDV,blue,VM
PRD,LPVRA73A0094,CORE - TOMCAT,OLTP-B.Admin-LDDV,blue,VM
PRD,LPVRA74A0094,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,blue,VM
PRD,LPVRA75A0094,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,blue,VM
PRD,LPVRA76A0094,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,blue,VM
PRD,LPVRA77A0094,CORE - TOMCAT,OLTP-YLT-YMA-ITS-Async,blue,VM
PRD,LPVRA78A0094,CORE - TOMCAT,OLTP-Docs,blue,VM
PRD,LPVRA79A0094,CORE - TOMCAT,OLTP-Docs,blue,VM
PRD,LPVRA80A0094,CORE - TOMCAT,OLTP-Docs,blue,VM
PRD,LPVRA81A0094,CORE - TOMCAT,OLTP-Docs,blue,VM
PRD,LPVRA82A0094,CORE - TOMCAT,CSL-Quartz-T2,blue,VM
PRD,LPVRA83A0094,CORE - TOMCAT,CSL-Quartz-T2,blue,VM
PRD,LPVRA78A0101,CORE - TOMCAT,CSL-Quartz,blue,VM
PRD,LPVRA79A0101,CORE - TOMCAT,CSL-Quartz,blue,VM
PRD,LPVRA80A0101,CORE - TOMCAT,CSL-Quartz,blue,VM
PRD,lppra00a0287,BPM,apptgt - msg,cmn - dmgr,Physical
PRD,lppra00a0288,BPM,apptgt - msg,cmn,Physical
PRD,lppra00a0289,BPM,apptgt - support,cmn,Physical
PRD,lppra00a0290,BPM,apptgt - support,cmn,Physical
PRD,lpvrw00a0133,WEB,web - CS enabled,green,VM
PRD,lpvrw00a0134,WEB,web - CS enabled,green,VM
PRD,lpvrw00a0135,WEB,web - CS enabled,green,VM
PRD,lpvrw00a0136,WEB,web - CS enabled,green,VM
PRD,lpvrw00a0137,WEB,web - CS enabled,green,VM
PRD,lpvrw00a0138,WEB,web - CS enabled,green,VM
PRD,lpvrw94a0006,WEB,web - CS enabled,blue,VM
PRD,lpvrw95a0006,WEB,web - CS enabled,blue,VM
PRD,lpvrw96a0006,WEB,web - CS enabled,blue,VM
PRD,lpvrw97a0006,WEB,web - CS enabled,blue,VM
PRD,lpvrw98a0006,WEB,web - CS enabled,blue,VM
PRD,lpvrw99a0006,WEB,web - CS enabled,blue,VM
